caseid,feelings_life,place_birth_canada,citizenship_status,aboriginal,vis_minority,marital_status,education,self_rated_health,self_rated_mental_health,income_family,income_respondent,number_total_children_intention,is_male
217,6,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Good,3,"$75,000 to $99,999","$25,000 to $49,999",NA,0
218,8,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,4,"$125,000 and more","$125,000 and more",NA,1
219,9,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,4,"$75,000 to $99,999","$50,000 to $74,999",NA,1
220,10,Born in Canada,By birth,Don't know,Not a visible minority,Married,1,Very good,4,"$25,000 to $49,999","Less than $25,000",NA,1
221,8,Born in Canada,By birth,No,Not a visible minority,Married,1,Very good,3,"$50,000 to $74,999","Less than $25,000",NA,0
222,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Excellent,5,"Less than $25,000","Less than $25,000",0,0
223,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Very good,5,"$100,000 to $ 124,999","$25,000 to $49,999",3,1
224,10,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,3,"Less than $25,000","Less than $25,000",NA,0
225,5,Born outside Canada,By naturalization,NA,Visible minority,Separated,1,Poor,2,"Less than $25,000","Less than $25,000",NA,1
226,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$25,000 to $49,999","Less than $25,000",NA,0
227,9,Born in Canada,By birth,No,Not a visible minority,Married,7,Good,4,"$125,000 and more","$75,000 to $99,999",0,0
228,4,Born outside Canada,By naturalization,NA,Visible minority,Married,NA,Poor,1,"$125,000 and more","Less than $25,000",NA,0
229,10,Born outside Canada,By naturalization,NA,Not a visible minority,Living common-law,2,Very good,4,"$125,000 and more","$75,000 to $99,999",0,1
230,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Good,3,"$50,000 to $74,999","$50,000 to $74,999",2,0
231,10,Born in Canada,By birth,No,Not a visible minority,Married,1,Excellent,5,"$25,000 to $49,999","Less than $25,000",NA,0
232,1,Born in Canada,By birth,No,Not a visible minority,Divorced,7,Poor,4,"Less than $25,000","Less than $25,000",NA,1
233,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,5,"$125,000 and more","$100,000 to $ 124,999",NA,0
234,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Fair,4,"Less than $25,000","Less than $25,000",NA,1
235,8,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",4,Good,3,"Less than $25,000","Less than $25,000",NA,0
236,10,Born in Canada,By birth,No,Not a visible minority,Divorced,4,Very good,4,"$125,000 and more","Less than $25,000",NA,1
237,9,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",3,Excellent,5,"Less than $25,000","Less than $25,000",NA,0
238,5,Born outside Canada,By naturalization,NA,Not a visible minority,Married,2,Good,1,"$50,000 to $74,999","Less than $25,000",NA,0
239,7,Born in Canada,By birth,No,Not a visible minority,Married,3,Don't know,3,"$125,000 and more","$75,000 to $99,999",0,1
240,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,4,"$75,000 to $99,999","$25,000 to $49,999",2,0
241,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,3,"$125,000 and more","$100,000 to $ 124,999",NA,1
242,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Excellent,5,"$125,000 and more","$75,000 to $99,999",2,1
243,10,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
244,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,4,"$50,000 to $74,999","$25,000 to $49,999",0,0
245,5,Born outside Canada,By naturalization,NA,Not a visible minority,"Single, never married",1,Good,3,"$50,000 to $74,999","$50,000 to $74,999",NA,1
246,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Poor,5,"$25,000 to $49,999","Less than $25,000",NA,1
247,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$75,000 to $99,999","$25,000 to $49,999",NA,1
248,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,2,"$125,000 and more","Less than $25,000",2,0
249,6,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Fair,1,"$25,000 to $49,999","$25,000 to $49,999",NA,0
250,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Very good,5,"$50,000 to $74,999","$50,000 to $74,999",1,1
251,10,Born outside Canada,By naturalization,NA,Visible minority,Married,3,Very good,4,"$25,000 to $49,999","Less than $25,000",0,1
252,9,Born in Canada,By birth,Yes,Not a visible minority,Married,3,Good,5,"$125,000 and more","$25,000 to $49,999",NA,0
253,9,Born outside Canada,By naturalization,NA,Visible minority,Living common-law,7,Excellent,4,"$100,000 to $ 124,999","Less than $25,000",2,0
254,9,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
255,5,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",2,Poor,1,"Less than $25,000","Less than $25,000",NA,0
256,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,5,"$50,000 to $74,999","$25,000 to $49,999",NA,0
257,8,Born outside Canada,By naturalization,No,Not a visible minority,Married,2,Good,3,"$75,000 to $99,999","$50,000 to $74,999",NA,1
258,NA,Born in Canada,By birth,No,Not a visible minority,Separated,1,Poor,2,"Less than $25,000","Less than $25,000",NA,1
259,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,5,"$125,000 and more","$100,000 to $ 124,999",2,1
260,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Very good,4,"$75,000 to $99,999","$50,000 to $74,999",0,1
261,8,Born outside Canada,By naturalization,NA,Not a visible minority,Married,2,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,0
262,10,Born outside Canada,NA,NA,Visible minority,Married,7,Very good,5,"$50,000 to $74,999","$50,000 to $74,999",0,1
263,10,Born in Canada,By birth,Yes,Not a visible minority,Divorced,2,Very good,4,"$125,000 and more","$25,000 to $49,999",0,0
264,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Good,4,"$125,000 and more","Less than $25,000",2,1
265,2,Born in Canada,By birth,No,Not a visible minority,Separated,2,Good,5,"$75,000 to $99,999","$75,000 to $99,999",NA,1
266,10,Born outside Canada,NA,NA,Don't know,Married,1,Excellent,5,"$25,000 to $49,999","Less than $25,000",3,0
267,9,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",0,0
268,5,Born in Canada,By birth,No,Visible minority,"Single, never married",2,Good,3,"$125,000 and more","$25,000 to $49,999",NA,1
269,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,3,"$100,000 to $ 124,999","$100,000 to $ 124,999",NA,1
270,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Excellent,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
271,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Very good,1,"$25,000 to $49,999","$25,000 to $49,999",NA,1
272,8,Born outside Canada,NA,NA,Visible minority,Married,7,Very good,4,"$125,000 and more","$100,000 to $ 124,999",2,1
273,9,Born outside Canada,By naturalization,NA,Not a visible minority,Married,3,Good,3,"$50,000 to $74,999","Less than $25,000",NA,0
274,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,3,"$25,000 to $49,999","Less than $25,000",NA,0
275,9,Born in Canada,By birth,No,Not a visible minority,Separated,6,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,1
276,8,Born in Canada,By birth,Yes,Not a visible minority,Married,5,Very good,4,"$125,000 and more","$75,000 to $99,999",0,0
277,1,Born outside Canada,By naturalization,NA,Not a visible minority,Married,5,Poor,3,"$125,000 and more","$25,000 to $49,999",NA,1
278,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Excellent,4,"$50,000 to $74,999","Less than $25,000",2,1
279,7,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,3,"$75,000 to $99,999","$25,000 to $49,999",NA,0
280,8,Born outside Canada,NA,NA,Not a visible minority,Married,2,Poor,3,"$50,000 to $74,999","$25,000 to $49,999",NA,1
281,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Excellent,5,"$125,000 and more","$75,000 to $99,999",0,0
282,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Fair,4,"$100,000 to $ 124,999","$25,000 to $49,999",NA,1
283,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Fair,4,"Less than $25,000","Less than $25,000",3,0
284,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Fair,5,"$50,000 to $74,999","Less than $25,000",NA,0
285,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Good,1,"$75,000 to $99,999","Less than $25,000",1,1
286,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,4,"$125,000 and more","Less than $25,000",NA,1
287,NA,Born in Canada,By birth,No,Not a visible minority,Married,2,Fair,5,"$25,000 to $49,999","Less than $25,000",0,1
288,NA,Born outside Canada,By naturalization,NA,Visible minority,Married,3,Good,4,"$125,000 and more","$25,000 to $49,999",NA,0
289,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Good,3,"Less than $25,000","Less than $25,000",1,1
290,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Excellent,5,"$25,000 to $49,999","Less than $25,000",2,1
291,9,Born in Canada,By birth,No,Not a visible minority,Married,1,Very good,4,"$25,000 to $49,999","Less than $25,000",NA,0
292,6,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,1
293,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",NA,1
294,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Very good,4,"$100,000 to $ 124,999","$100,000 to $ 124,999",NA,1
295,8,Born in Canada,By birth,No,Not a visible minority,Separated,2,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
296,8,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Good,5,"$25,000 to $49,999","$25,000 to $49,999",NA,1
297,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",0,1
298,9,Born outside Canada,By naturalization,NA,Not a visible minority,Married,6,Good,5,"$50,000 to $74,999","$25,000 to $49,999",NA,1
299,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$125,000 and more","$125,000 and more",NA,1
300,10,Born outside Canada,NA,NA,Visible minority,"Single, never married",6,Excellent,5,"$75,000 to $99,999","$75,000 to $99,999",2,0
301,10,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Excellent,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
302,8,Born outside Canada,By naturalization,NA,Not a visible minority,Divorced,3,Good,4,"Less than $25,000","Less than $25,000",NA,0
303,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,3,"$125,000 and more","$75,000 to $99,999",NA,0
304,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",5,Poor,1,"Less than $25,000","Less than $25,000",NA,0
305,7,Born outside Canada,By naturalization,NA,Visible minority,Divorced,2,Poor,5,"$75,000 to $99,999","$50,000 to $74,999",NA,0
306,9,Born in Canada,By birth,No,Not a visible minority,Married,4,Fair,3,"$25,000 to $49,999","Less than $25,000",NA,1
307,9,Born outside Canada,By naturalization,NA,Not a visible minority,Married,7,Excellent,5,"$125,000 and more","$75,000 to $99,999",0,0
308,9,Born in Canada,By birth,No,Not a visible minority,Married,1,Fair,4,"$25,000 to $49,999","Less than $25,000",NA,1
309,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
310,5,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Poor,4,"Less than $25,000","Less than $25,000",NA,0
311,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",7,Very good,5,"$25,000 to $49,999","$25,000 to $49,999",NA,1
312,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
313,9,Born outside Canada,By naturalization,NA,Visible minority,Married,7,Very good,4,"$125,000 and more","$25,000 to $49,999",NA,0
314,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$25,000 to $49,999","Less than $25,000",0,1
315,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Very good,3,"$50,000 to $74,999","Less than $25,000",NA,1
316,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Excellent,5,"$125,000 and more","$125,000 and more",0,1
317,8,Born in Canada,By birth,No,Not a visible minority,Divorced,NA,Very good,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
318,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Good,5,"$75,000 to $99,999","$25,000 to $49,999",2,1
319,7,Born in Canada,By birth,No,Visible minority,"Single, never married",1,Very good,3,"Less than $25,000","Less than $25,000",NA,1
320,6,Born outside Canada,By naturalization,NA,Visible minority,Widowed,7,Excellent,5,"$125,000 and more","$125,000 and more",NA,1
321,8,Born in Canada,By birth,No,Not a visible minority,Separated,2,Very good,5,"$100,000 to $ 124,999","$100,000 to $ 124,999",0,1
322,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,3,"$75,000 to $99,999","$75,000 to $99,999",2,1
323,4,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Poor,1,"$75,000 to $99,999","Less than $25,000",NA,0
324,9,Born outside Canada,By naturalization,NA,Visible minority,Widowed,7,Excellent,4,"$75,000 to $99,999","$75,000 to $99,999",NA,1
325,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,5,"$75,000 to $99,999","$50,000 to $74,999",0,1
326,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Fair,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
327,0,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Poor,2,"Less than $25,000","Less than $25,000",NA,0
328,8,Born in Canada,By birth,Yes,Not a visible minority,Married,3,Good,4,"$100,000 to $ 124,999","$75,000 to $99,999",NA,1
329,6,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Fair,1,"$25,000 to $49,999","$25,000 to $49,999",2,0
330,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Good,3,"Less than $25,000","Less than $25,000",NA,1
331,10,Born in Canada,By birth,No,Visible minority,Married,7,Very good,4,"$125,000 and more","$125,000 and more",0,1
332,8,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,3,"$125,000 and more","$100,000 to $ 124,999",0,1
333,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Good,3,"$25,000 to $49,999","$25,000 to $49,999",0,1
334,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",7,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",0,0
335,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Poor,5,"$50,000 to $74,999","$50,000 to $74,999",NA,1
336,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,4,"$25,000 to $49,999","Less than $25,000",2,0
337,0,Born in Canada,By birth,No,Not a visible minority,Separated,3,Excellent,2,"Less than $25,000","Less than $25,000",NA,1
338,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$125,000 and more","$75,000 to $99,999",NA,1
339,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,1,Very good,4,"$75,000 to $99,999","$50,000 to $74,999",NA,0
340,10,Born outside Canada,NA,No,Not a visible minority,Married,6,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
341,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,1
342,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,3,"$125,000 and more","$50,000 to $74,999",0,0
343,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$75,000 to $99,999","$25,000 to $49,999",NA,0
344,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,3,"$125,000 and more","$75,000 to $99,999",0,1
345,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$50,000 to $74,999","Less than $25,000",0,1
346,8,Born in Canada,By birth,No,Not a visible minority,Divorced,1,Good,3,"Less than $25,000","Less than $25,000",NA,0
347,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Very good,4,"$125,000 and more","Less than $25,000",NA,0
348,10,Born outside Canada,By naturalization,NA,Visible minority,Married,6,Good,3,"$125,000 and more","$75,000 to $99,999",1,0
349,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"Less than $25,000","Less than $25,000",1,1
